Date,Description,Amount
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000254515587,8422.23
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000244515587,6174.71
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000174515587,5582.17
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000254515587,3403.62
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000174515587,3152.60
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000064515587,1836.79
21/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000164515587,7592.18
21/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000234515587,7049.29
21/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000234515587,6812.61
21/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000054515587,2532.55
21/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000054515587,2047.62
21/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000164515587,1642.90
20/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000224515587,11761.16
20/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000044515587,7577.45
20/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000154515587,5192.03
20/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000224515587,3916.94
20/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000044515587,1770.13
20/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000154515587,1177.69
19/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000214515587,12009.61
19/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000214515587,8671.76
19/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000144515587,7781.87
19/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000034515587,7754.32
19/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000034515587,1515.55
19/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000144515587,670.37
18/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000204515587,12709.29
18/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000024515587,7484.69
18/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000134515587,6790.50
18/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000134515587,5807.94
18/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000204515587,4774.06
18/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000024515587,2174.79
17/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000124515587,10573.72
17/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000194515587,6140.19
17/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000124515587,3693.95
17/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000194515587,1048.38
15/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000184515587,18501.32
15/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000114515587,17729.55
15/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000184515587,9696.95
15/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000114515587,8785.52
15/11/2025,IB PAYMENT TO Alpha Pharm,-55970.88
15/11/2025,IB PAYMENT TO Cj Distribution Cj Distribut,-54733.21
15/11/2025,IB PAYMENT TO Impo Distributors Impo Dis,-31477.51
15/11/2025,IB PAYMENT TO Sg Convenience Bfn Sg Convenie,-17964.32
15/11/2025,IB PAYMENT TO The Local Choice,-15559.27
15/11/2025,IB PAYMENT TO Tugela (Winterton) 139 Tugela,-11828.71
15/11/2025,IB PAYMENT TO Brunel Laboratoria Brunel Lab,-10906.19
15/11/2025,IB PAYMENT TO Idexis,-10319.17
15/11/2025,IB PAYMENT TO Llt Marketing LLT Markting,-9194.25
15/11/2025,IB PAYMENT TO Alman's Dried Fruit Almans Dri,-3871.87
15/11/2025,IB PAYMENT TO Wow Cosmetics Wow Cosmetic,-3764.18
15/11/2025,IB PAYMENT TO TLC ROOS,-3597.65
15/11/2025,IB PAYMENT TO Brentoni Distributor Brentoni,-3313.15
15/11/2025,IB PAYMENT TO Ascot Ascot Agency,-3070.50
15/11/2025,IB PAYMENT TO Tugela (Bergville) 25 Tugela (,-2565.82
15/11/2025,IB PAYMENT TO UPD,-1645.47
15/11/2025,IB PAYMENT TO S.o.h Group,-1058.43
15/11/2025,IB PAYMENT TO Pay Script,-759.00
15/11/2025,IB PAYMENT TO Botes & Hechter Labour Group,-400.00
15/11/2025,IB PAYMENT TO Dts,-295.32
14/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000174515587,12158.18
14/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000014515587,9600.44
14/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000104515587,8357.33
14/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000174515587,3561.93
14/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000014515587,1723.12
14/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000104515587,1536.44
13/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000094515587,8940.55
13/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000164515587,6098.23
13/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000164515587,5407.23
13/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009994515587,4656.90
13/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009994515587,1536.59
13/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000094515587,307.86
12/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000154515587,9908.92
12/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009984515587,7741.20
12/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000084515587,7385.00
12/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000154515587,3472.55
12/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009984515587,1865.78
12/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000084515587,653.44
11/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000144515587,15010.62
11/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009974515587,9982.53
11/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009974515587,8291.50
11/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000074515587,7825.04
11/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000144515587,7537.36
11/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000074515587,7120.56
10/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009964515587,9263.02
10/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000134515587,7077.43
10/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000134515587,5226.39
10/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009964515587,2766.10
10/11/2025,IB PAYMENT TO Cj Pharmaceutical Cj Pharma,-700000.00
08/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000124515587,12476.99
08/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000064515587,10136.32
08/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009954515587,8837.01
08/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000124515587,5003.89
08/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000064515587,2054.66
08/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009954515587,929.21
08/11/2025,IB TRANSFER FROM SB1 to SB2,300000.00
07/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000114515587,18586.06
07/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009944515587,12766.26
07/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000114515587,4109.32
07/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000054515587,3989.38
07/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009944515587,3667.83
07/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000054515587,1143.79
06/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000104515587,17093.67
06/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009934515587,7953.42
06/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000104515587,5447.73
06/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000044515587,5409.68
06/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000044515587,1808.98
06/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009934515587,200.87
05/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000094515587,19663.36
05/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009924515587,12547.28
05/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009924515587,6584.29
05/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000034515587,5643.09
05/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000094515587,1183.32
05/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000034515587,1059.41
04/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000084515587,21089.84
04/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000024515587,20949.22
04/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000024515587,12705.18
04/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009914515587,11308.15
04/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009914515587,5645.87
04/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000084515587,4879.60
03/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000074515587,11387.33
03/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000074515587,1672.30
03/11/2025,ACCOUNT PAYMENT XPROCURE  ACC 6011632,-632.67
01/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000014515587,20271.87
01/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000064515587,20190.19
01/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000014515587,4782.12
01/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000064515587,3923.70
01/11/2025,ELECTRONIC TRF - CREDIT CARD SB MERCH DISC          4515587,-18905.32
01/11/2025,CREDIT AGREEMENT REPAYMENT VW_FIN_SER87023583281,-18817.63
01/11/2025,IB PAYMENT TO NEXTEK COMPUTERS,-820.00
31/10/2025,SERVICE FEE ACC   301666148,-314.70
31/10/2025,MONTHLY MANAGEMENT FEE ACC   301666148,-110.00
31/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000054515587,22418.25
31/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009994515587,21319.19
31/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000054515587,9049.56
31/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009994515587,5998.33
31/10/2025,ACCOUNT PAYMENT K2011SA   NASHUA 024749,-5186.66
31/10/2025,IB PAYMENT TO GREEN IMPRESSIONS,-550.00
30/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000044515587,20636.62
30/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009904515587,13831.76
30/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009984515587,5442.08
30/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000044515587,2719.40
30/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009904515587,2352.51
30/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009984515587,1048.54
29/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000034515587,21552.44
29/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009974515587,10215.47
29/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009974515587,3568.54
29/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000034515587,2850.46
29/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009894515587,715.65
29/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009894515587,492.86
28/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000024515587,22042.88
28/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009884515587,21640.07
28/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009964515587,11673.82
28/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009884515587,7348.56
28/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000024515587,3756.90
28/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009964515587,2432.80
27/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000014515587,14819.57
27/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009874515587,11177.97
27/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009954515587,5154.35
27/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000014515587,4176.97
27/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009874515587,3411.53
27/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009954515587,2544.85
27/10/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-300000.00
27/10/2025,IB PAYMENT TO MARIA SMITH,-3323.00
27/10/2025,IB TRANSFER FROM SB1 - SB2      13H22,100000.00
25/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009994515587,13103.27
25/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009944515587,9837.42
25/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009864515587,7801.92
25/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009944515587,4506.85
25/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009864515587,2967.55
25/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009994515587,2266.10
25/10/2025,IB PAYMENT TO BYTJIE SALF,-3377.18
24/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009984515587,16044.82
24/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009854515587,7311.84
24/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009984515587,3959.69
24/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009934515587,3549.52
24/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009934515587,3233.84
24/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009854515587,481.76
24/10/2025,IB PAYMENT TO MARIA SMITH,-8004.00
23/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009974515587,8464.67
23/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009924515587,5682.67
23/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009844515587,5112.06
23/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009924515587,4339.05
23/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009974515587,3348.90
23/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009844515587,2249.82
22/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009964515587,11118.69
22/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009964515587,8883.21
22/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009914515587,7895.26
22/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009834515587,5271.97
22/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009914515587,1242.51
22/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009834515587,687.57
21/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009954515587,15401.13
21/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009824515587,7223.63
21/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009904515587,6000.93
21/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009824515587,5710.48
21/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009954515587,4731.69
21/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009904515587,1816.11
21/10/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-451989.01
21/10/2025,IB PAYMENT TO ALPHA PHARM,-81557.47
21/10/2025,IB PAYMENT TO CJ DISTRIBUTION,-42792.16
21/10/2025,IB TRANSFER TO Roos Cash Reitz10H43,-24540.00
21/10/2025,IB PAYMENT TO IMPO DISTRIBUTORS,-23309.52
21/10/2025,IB PAYMENT TO TRANSPHARM,-17485.53
21/10/2025,IB TRANSFER TO ##139 WIN/REITZ10H41,-16277.56
21/10/2025,IB PAYMENT TO THE LOCAL CHOICE LOCAL CHOICE,-15559.27
21/10/2025,IB PAYMENT TO THE FRENCH PARFUME TFP PARFUME,-13016.15
21/10/2025,IB PAYMENT TO UNITED PHARMACEUTICA UPD,-10517.75
21/10/2025,IB PAYMENT TO BRANDVISTA,-7245.00
21/10/2025,IB PAYMENT TO ARRIE NEL,-7148.32
21/10/2025,IB PAYMENT TO WOW COSMETICS,-6456.61
21/10/2025,IB PAYMENT TO USN,-3498.30
21/10/2025,IB PAYMENT TO IDEXIS,-3286.47
21/10/2025,IB TRANSFER TO ##2Roos_Reitz  10H42,-2783.22
21/10/2025,IB PAYMENT TO ASCOT ASCOT AGENCY,-2463.30
21/10/2025,IB PAYMENT TO S.O.H GROUP,-1058.43
21/10/2025,IB PAYMENT TO BRUNEL LABORATORIA,-908.77
21/10/2025,IB PAYMENT TO NEXTEK COMPUTERS,-770.00
21/10/2025,IB PAYMENT TO BOTES & HECHTER LABOUR GROUP,-400.00
21/10/2025,IB PAYMENT TO BASSOPA,-379.50
21/10/2025,IB PAYMENT TO BASSOPA,-379.50
21/10/2025,IB TRANSFER TO ##25 BERG/REITZ14H50,-309.45
21/10/2025,IB PAYMENT TO DTS,-295.32
21/10/2025,IB TRANSFER FROM SB1 - SB2      10H27,300000.00
20/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009944515587,8708.47
20/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009894515587,6853.36
20/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009944515587,4897.63
20/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009894515587,571.76
18/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009934515587,25566.94
18/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009884515587,17483.68
18/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009934515587,6723.05
18/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009884515587,3839.13
18/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009814515587,525.00
18/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009814515587,200.00
17/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009804515587,9860.14
17/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009924515587,9641.79
